Area(23 Markets),Country/Area(23 Markets),Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals,Year
Southeast Asia & India,Philippines,Oct.,Business,6,2021
Southeast Asia & India,Philippines,Nov.,Business,19,2021
Southeast Asia & India,Philippines,Dec.,Business,6,2021
Southeast Asia & India,Singapore,Jan.,Business,23,2021
Southeast Asia & India,Singapore,Feb.,Business,8,2021
Southeast Asia & India,Singapore,Mar.,Business,8,2021
Southeast Asia & India,Singapore,Apr.,Business,13,2021
Southeast Asia & India,Singapore,May,Business,7,2021
Southeast Asia & India,Singapore,Jun.,Business,6,2021
Southeast Asia & India,Singapore,Jul.,Business,8,2021
Southeast Asia & India,Singapore,Aug.,Business,7,2021
Southeast Asia & India,Singapore,Sep.,Business,11,2021
Southeast Asia & India,Singapore,Oct.,Business,11,2021
Southeast Asia & India,Singapore,Nov.,Business,20,2021
Southeast Asia & India,Singapore,Dec.,Business,4,2021
Southeast Asia & India,Thailand,Jan.,Business,218,2021
Southeast Asia & India,Thailand,Feb.,Business,2,2021
Southeast Asia & India,Thailand,Mar.,Business,10,2021
Southeast Asia & India,Thailand,Apr.,Business,7,2021
Southeast Asia & India,Thailand,May,Business,35,2021
Southeast Asia & India,Thailand,Jun.,Business,5,2021
Southeast Asia & India,Thailand,Jul.,Business,5,2021
Southeast Asia & India,Thailand,Aug.,Business,8,2021
Southeast Asia & India,Thailand,Sep.,Business,4,2021
Southeast Asia & India,Thailand,Oct.,Business,14,2021
Southeast Asia & India,Thailand,Nov.,Business,34,2021
Southeast Asia & India,Thailand,Dec.,Business,12,2021
Southeast Asia & India,Vietnam,Jan.,Business,59,2021
Southeast Asia & India,Vietnam,Feb.,Business,2,2021
Southeast Asia & India,Vietnam,Mar.,Business,4,2021
Southeast Asia & India,Vietnam,Apr.,Business,6,2021
Southeast Asia & India,Vietnam,May,Business,11,2021
Southeast Asia & India,Vietnam,Jun.,Business,73,2021
Southeast Asia & India,Vietnam,Jul.,Business,12,2021
Southeast Asia & India,Vietnam,Aug.,Business,5,2021
Southeast Asia & India,Vietnam,Sep.,Business,5,2021
Southeast Asia & India,Vietnam,Oct.,Business,26,2021
Southeast Asia & India,Vietnam,Nov.,Business,84,2021
Southeast Asia & India,Vietnam,Dec.,Business,13,2021
Others,Others,Jan.,Business,483,2021
Others,Others,Feb.,Business,238,2021
Others,Others,Mar.,Business,335,2021
Others,Others,Apr.,Business,405,2021
Others,Others,May,Business,324,2021
Others,Others,Jun.,Business,214,2021
Others,Others,Jul.,Business,184,2021
Others,Others,Aug.,Business,286,2021
Others,Others,Sep.,Business,430,2021
Others,Others,Oct.,Business,804,2021
Others,Others,Nov.,Business,436,2021
Others,Others,Dec.,Business,376,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,Business,20,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,Business,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,Business,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,Business,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,Business,19,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,Business,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,Business,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,Business,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,Business,26,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,Business,22,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,Business,33,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,Business,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,Business,41,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,Business,26,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,Business,25,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,Business,57,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,Business,42,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,Business,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,Business,109,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,Business,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,Business,25,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,Business,78,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,Business,28,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,Business,36,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,Business,148,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,Business,51,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,Business,74,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,Business,77,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,Business,24,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,Business,107,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,Business,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,Business,68,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,Business,69,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,Business,42,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,Business,36,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,Business,86,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,Business,87,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,Business,110,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,Business,68,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,Business,27,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,Business,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,Business,11,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Apr.,Business,20,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,May,Business,34,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jun.,Business,25,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jul.,Business,25,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,Business,36,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,Business,42,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,Business,63,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,Business,39,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,Business,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,Business,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,Business,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,Business,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,Business,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,Business,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,Business,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,Business,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,Business,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,Business,1,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,Business,15,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,Business,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,Business,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,Business,66,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,Business,39,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,Business,37,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,Business,13,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,Business,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,Business,33,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,Business,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,Business,15,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,Business,22,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,Business,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,Business,38,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,Business,19,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,Business,71,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,Business,26,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,Business,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,Business,78,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,Business,40,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,Business,19,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,Business,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,Business,17,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,Business,47,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,Business,31,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,Business,34,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,Business,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,Business,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,Business,20,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,Business,23,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,Business,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,Business,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,Business,17,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,Business,27,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,Business,13,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,Business,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,Business,42,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,Business,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Business,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Business,40,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Business,57,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Business,59,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Business,50,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Business,51,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Business,54,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Business,82,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Business,66,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Business,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Business,138,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Business,53,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Business,63,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Business,85,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Business,111,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Business,105,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Business,99,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Business,134,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Business,114,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Business,191,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Business,127,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Business,74,2021
All,All,Jan.,Business,"3,099",2021
All,All,Feb.,Business,776,2021
All,All,Mar.,Business,"1,105",2021
All,All,Apr.,Business,"1,368",2021
All,All,May,Business,"1,323",2021
All,All,Jun.,Business,"1,121",2021
All,All,Jul.,Business,941,2021
All,All,Aug.,Business,"1,374",2021
All,All,Sep.,Business,"1,676",2021
All,All,Oct.,Business,"2,506",2021
All,All,Nov.,Business,"1,992",2021
All,All,Dec.,Business,"1,063",2021
East Asia,China,Jan.,Tourism,"804,901",2020
East Asia,China,Feb.,Tourism,"55,297",2020
East Asia,China,Mar.,Tourism,"4,313",2020
East Asia,China,Apr.,Tourism,65,2020
East Asia,China,May,Tourism,15,2020
East Asia,China,Jun.,Tourism,25,2020
East Asia,China,Jul.,Tourism,28,2020
East Asia,China,Aug.,Tourism,74,2020
East Asia,China,Sep.,Tourism,74,2020
East Asia,China,Oct.,Tourism,93,2020
East Asia,China,Nov.,Tourism,135,2020
East Asia,China,Dec.,Tourism,136,2020
East Asia,Hong Kong,Jan.,Tourism,"214,948",2020
East Asia,Hong Kong,Feb.,Tourism,"113,289",2020
East Asia,Hong Kong,Mar.,Tourism,"9,326",2020
East Asia,Hong Kong,Apr.,Tourism,7,2020
East Asia,Hong Kong,May,Tourism,1,2020
East Asia,Hong Kong,Jun.,Tourism,0,2020
East Asia,Hong Kong,Jul.,Tourism,7,2020
East Asia,Hong Kong,Aug.,Tourism,1,2020
East Asia,Hong Kong,Sep.,Tourism,6,2020
East Asia,Hong Kong,Oct.,Tourism,10,2020
East Asia,Hong Kong,Nov.,Tourism,6,2020
East Asia,Hong Kong,Dec.,Tourism,15,2020
East Asia,South Korea,Jan.,Tourism,"266,717",2020
East Asia,South Korea,Feb.,Tourism,"115,583",2020
East Asia,South Korea,Mar.,Tourism,"8,353",2020
East Asia,South Korea,Apr.,Tourism,35,2020
East Asia,South Korea,May,Tourism,9,2020
East Asia,South Korea,Jun.,Tourism,3,2020
East Asia,South Korea,Jul.,Tourism,17,2020
East Asia,South Korea,Aug.,Tourism,23,2020
East Asia,South Korea,Sep.,Tourism,46,2020
East Asia,South Korea,Oct.,Tourism,48,2020
East Asia,South Korea,Nov.,Tourism,89,2020
East Asia,South Korea,Dec.,Tourism,123,2020
East Asia,Taiwan,Jan.,Tourism,"434,358",2020
East Asia,Taiwan,Feb.,Tourism,"209,853",2020
East Asia,Taiwan,Mar.,Tourism,"3,996",2020
East Asia,Taiwan,Apr.,Tourism,77,2020
East Asia,Taiwan,May,Tourism,6,2020
East Asia,Taiwan,Jun.,Tourism,4,2020
East Asia,Taiwan,Jul.,Tourism,14,2020
East Asia,Taiwan,Aug.,Tourism,23,2020
East Asia,Taiwan,Sep.,Tourism,17,2020
East Asia,Taiwan,Oct.,Tourism,26,2020
East Asia,Taiwan,Nov.,Tourism,42,2020
East Asia,Taiwan,Dec.,Tourism,48,2020
Southeast Asia & India,India,Jan.,Tourism,"3,208",2020
Southeast Asia & India,India,Feb.,Tourism,"1,742",2020
Southeast Asia & India,India,Mar.,Tourism,404,2020
Southeast Asia & India,India,Apr.,Tourism,4,2020
Southeast Asia & India,India,May,Tourism,2,2020
Southeast Asia & India,India,Jun.,Tourism,1,2020
Southeast Asia & India,India,Jul.,Tourism,3,2020
Southeast Asia & India,India,Aug.,Tourism,6,2020
Southeast Asia & India,India,Sep.,Tourism,4,2020
Southeast Asia & India,India,Oct.,Tourism,7,2020
Southeast Asia & India,India,Nov.,Tourism,8,2020
Southeast Asia & India,India,Dec.,Tourism,17,2020
Southeast Asia & India,Indonesia,Jan.,Tourism,"30,755",2020
Southeast Asia & India,Indonesia,Feb.,Tourism,"20,480",2020
Southeast Asia & India,Indonesia,Mar.,Tourism,"3,779",2020
Southeast Asia & India,Indonesia,Apr.,Tourism,41,2020
Southeast Asia & India,Indonesia,May,Tourism,5,2020
Southeast Asia & India,Indonesia,Jun.,Tourism,5,2020
Southeast Asia & India,Indonesia,Jul.,Tourism,25,2020
Southeast Asia & India,Indonesia,Aug.,Tourism,7,2020
Southeast Asia & India,Indonesia,Sep.,Tourism,9,2020
Southeast Asia & India,Indonesia,Oct.,Tourism,18,2020
Southeast Asia & India,Indonesia,Nov.,Tourism,14,2020
Southeast Asia & India,Indonesia,Dec.,Tourism,40,2020
Southeast Asia & India,Malaysia,Jan.,Tourism,"41,556",2020
Southeast Asia & India,Malaysia,Feb.,Tourism,"23,993",2020
Southeast Asia & India,Malaysia,Mar.,Tourism,"2,308",2020
Southeast Asia & India,Malaysia,Apr.,Tourism,15,2020
Southeast Asia & India,Malaysia,May,Tourism,2,2020
Southeast Asia & India,Malaysia,Jun.,Tourism,0,2020
Southeast Asia & India,Malaysia,Jul.,Tourism,3,2020
Southeast Asia & India,Malaysia,Aug.,Tourism,1,2020
Southeast Asia & India,Malaysia,Sep.,Tourism,3,2020
Southeast Asia & India,Malaysia,Oct.,Tourism,5,2020
Southeast Asia & India,Malaysia,Nov.,Tourism,5,2020
Southeast Asia & India,Malaysia,Dec.,Tourism,4,2020
Southeast Asia & India,Philippines,Jan.,Tourism,"40,371",2020
Southeast Asia & India,Philippines,Feb.,Tourism,"34,322",2020
Southeast Asia & India,Philippines,Mar.,Tourism,"7,771",2020
Southeast Asia & India,Philippines,Apr.,Tourism,34,2020
Southeast Asia & India,Philippines,May,Tourism,3,2020
Southeast Asia & India,Philippines,Jun.,Tourism,26,2020
Southeast Asia & India,Philippines,Jul.,Tourism,14,2020
Southeast Asia & India,Philippines,Aug.,Tourism,13,2020
Southeast Asia & India,Philippines,Sep.,Tourism,17,2020
Southeast Asia & India,Philippines,Oct.,Tourism,18,2020
Southeast Asia & India,Philippines,Nov.,Tourism,44,2020
Southeast Asia & India,Philippines,Dec.,Tourism,35,2020
Southeast Asia & India,Singapore,Jan.,Tourism,"27,443",2020
Southeast Asia & India,Singapore,Feb.,Tourism,"17,625",2020
Southeast Asia & India,Singapore,Mar.,Tourism,"4,556",2020
Southeast Asia & India,Singapore,Apr.,Tourism,0,2020
Southeast Asia & India,Singapore,May,Tourism,0,2020
Southeast Asia & India,Singapore,Jun.,Tourism,2,2020
Southeast Asia & India,Singapore,Jul.,Tourism,5,2020
Southeast Asia & India,Singapore,Aug.,Tourism,3,2020
Southeast Asia & India,Singapore,Sep.,Tourism,3,2020
Southeast Asia & India,Singapore,Oct.,Tourism,7,2020
Southeast Asia & India,Singapore,Nov.,Tourism,15,2020
Southeast Asia & India,Singapore,Dec.,Tourism,16,2020
Southeast Asia & India,Thailand,Jan.,Tourism,"106,035",2020
Southeast Asia & India,Thailand,Feb.,Tourism,"94,164",2020
Southeast Asia & India,Thailand,Mar.,Tourism,"3,101",2020
Southeast Asia & India,Thailand,Apr.,Tourism,13,2020
Southeast Asia & India,Thailand,May,Tourism,3,2020
Southeast Asia & India,Thailand,Jun.,Tourism,4,2020
Southeast Asia & India,Thailand,Jul.,Tourism,7,2020
Southeast Asia & India,Thailand,Aug.,Tourism,7,2020
Southeast Asia & India,Thailand,Sep.,Tourism,14,2020
Southeast Asia & India,Thailand,Oct.,Tourism,15,2020
Southeast Asia & India,Thailand,Nov.,Tourism,12,2020
Southeast Asia & India,Thailand,Dec.,Tourism,13,2020
Southeast Asia & India,Vietnam,Jan.,Tourism,"11,452",2020
Southeast Asia & India,Vietnam,Feb.,Tourism,"4,121",2020
Southeast Asia & India,Vietnam,Mar.,Tourism,"1,641",2020
Southeast Asia & India,Vietnam,Apr.,Tourism,4,2020
Southeast Asia & India,Vietnam,May,Tourism,0,2020
Southeast Asia & India,Vietnam,Jun.,Tourism,4,2020
Southeast Asia & India,Vietnam,Jul.,Tourism,7,2020
Southeast Asia & India,Vietnam,Aug.,Tourism,6,2020
Southeast Asia & India,Vietnam,Sep.,Tourism,6,2020
Southeast Asia & India,Vietnam,Oct.,Tourism,13,2020
Southeast Asia & India,Vietnam,Nov.,Tourism,28,2020
Southeast Asia & India,Vietnam,Dec.,Tourism,14,2020
Others,Others,Jan.,Tourism,"45,736",2020
Others,Others,Feb.,Tourism,"29,021",2020
Others,Others,Mar.,Tourism,"10,721",2020
Others,Others,Apr.,Tourism,142,2020
Others,Others,May,Tourism,16,2020
Others,Others,Jun.,Tourism,28,2020
Others,Others,Jul.,Tourism,51,2020
Others,Others,Aug.,Tourism,68,2020
Others,Others,Sep.,Tourism,69,2020
Others,Others,Oct.,Tourism,116,2020
Others,Others,Nov.,Tourism,135,2020
Others,Others,Dec.,Tourism,249,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,Tourism,"81,452",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,Tourism,"45,910",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,Tourism,"7,760",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,Tourism,36,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,Tourism,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,Tourism,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,Tourism,13,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,Tourism,3,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,Tourism,13,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,Tourism,16,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,Tourism,13,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,Tourism,20,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,Tourism,"25,582",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,Tourism,"15,903",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,Tourism,"5,514",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,Tourism,32,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,Tourism,3,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,Tourism,16,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,Tourism,11,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,Tourism,22,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,Tourism,14,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,Tourism,19,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,Tourism,35,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,Tourism,65,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,Tourism,"10,615",2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,Tourism,"13,800",2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,Tourism,"6,175",2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,Tourism,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,Tourism,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,Tourism,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,Tourism,33,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,Tourism,29,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,Tourism,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,Tourism,33,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,Tourism,41,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,Tourism,75,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,Tourism,"6,226",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,Tourism,"7,288",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,Tourism,"5,387",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,Tourism,5,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,Tourism,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,Tourism,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,Tourism,17,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,Tourism,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,Tourism,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,Tourism,29,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,Tourism,32,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,Tourism,82,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,Tourism,"4,408",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,Tourism,"3,333",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,Tourism,"1,204",2020
